MCPP,Longitude,Latitude
MAGNOLIA,-122.3859737,47.64938723
ROOSEVELT/RAVENNA,-122.3233991,47.67511789
NORTH BEACON HILL,-122.3147187,47.58024753
BALLARD SOUTH,-122.3661953,47.66219308
DOWNTOWN COMMERCIAL,-122.3384495,47.60878866
PHINNEY RIDGE,-122.3553091,47.68052695
ROXHILL/WESTWOOD/ARBOR HEIGHTS,-122.367312,47.52102758
SANDPOINT,-122.3048908,47.69756434
NORTHGATE,-122.3120778,47.69761617
CAPITOL HILL,-122.316845,47.61468385
UNIVERSITY,-122.3207201,47.66247336
COLUMBIA CITY,-122.2821021,47.5586471
GEORGETOWN,-122.3394391,47.56132149
FIRST HILL,-122.3167789,47.61156267
QUEEN ANNE,-122.3619389,47.62394954
SODO,-122.3320067,47.57140627
CENTRAL AREA/SQUIRE PARK,-122.3088636,47.61221899
MID BEACON HILL,-122.3147834,47.55638651
ALASKA JUNCTION,-122.381494,47.5565447
FREMONT,-122.3456394,47.65912603
NORTH ADMIRAL,-122.3838211,47.58323011
SLU/CASCADE,-122.3436501,47.6185566
CHINATOWN/INTERNATIONAL DISTRICT,-122.3201595,47.60169935
HILLMAN CITY,-122.2875865,47.55049818
HIGH POINT,-122.3722737,47.55286188
MOUNT BAKER,-122.2990223,47.58435803
HIGHLAND PARK,-122.3550803,47.52516304
BITTERLAKE,-122.3554597,47.70599117
PIONEER SQUARE,-122.3328781,47.6004741
BELLTOWN,-122.3501864,47.6161341
SOUTH BEACON HILL,-122.2851202,47.5165395
RAINIER VIEW,-122.2647236,47.51258367
JUDKINS PARK/NORTH BEACON HILL,-122.3109248,47.5992282
EASTLAKE - WEST,-122.3251984,47.64650426
MADRONA/LESCHI,-122.286922,47.5985085
GREENWOOD,-122.35334,47.69602207
MADISON PARK,-122.2826873,47.63239628
NORTH DELRIDGE,-122.3549567,47.54098986
CLAREMONT/RAINIER VISTA,-122.2940056,47.57291861
MONTLAKE/PORTAGE BAY,-122.309874,47.63955855
LAKEWOOD/SEWARD PARK,-122.266995,47.55484507
SOUTH DELRIDGE,-122.3578464,47.51827906
WALLINGFORD,-122.3356833,47.66138576
NEW HOLLY,-122.2812932,47.53704231
BALLARD NORTH,-122.3778601,47.68413737
PIGEON POINT,-122.362401,47.56347818
MORGAN,-122.3965314,47.54328358
BRIGHTON/DUNLAP,-122.268774,47.53698054
MILLER PARK,-122.3030405,47.62137823
RAINIER BEACH,-122.2628308,47.52677099
SOUTH PARK,-122.322979,47.5226618
ALKI,-122.4028949,47.5658359
UNKNOWN,-122.3211729,47.6751361
FAUNTLEROY SW,-122.3767307,47.52196556
GENESEE,-122.2782537,47.56408887
COMMERCIAL HARBOR ISLAND,-122.3525975,47.57221261
EASTLAKE - EAST,-122.3270999,47.62832451
COMMERCIAL DUWAMISH,-122.3614414,47.57167844
LAKECITY,-122.3013548,47.70842569
DOWNTOWN COMMERICAL,#N/A,#N/A
CAPITAL HILL,#N/A,#N/A
